,antecedents,consequents
34,['meekmill_jumpouttheface(feat.future)'],['fortminor_rememberthename(feat.stylesofbeyond)']
35,['meekmill_jumpouttheface(feat.future)'],['joségonzález_downtheline']
36,['meekmill_jumpouttheface(feat.future)'],['lukebryan_shegetmehigh']
37,['raury_neveralone'],"[""bigsean_idon'tfuckwithyou""]"
38,['blackbear_sniffingvicodininparis(dannyolsonremix)[feat.dannyolson]'],['cardib_bodakyellow']
39,['kidcudi_baptizedinfire'],['raesremmurd_comegether']
40,['kanyewest_power'],['fortminor_rememberthename(feat.stylesofbeyond)']
41,"[""oscard'león_lloraras""]",['robertglasperexperiment_afroblue-feat.erykahbadu']
42,['nirvana_inbloom-nevermindversion'],['aliceinchains_maninthebox']
43,['aliceinchains_maninthebox'],['nirvana_inbloom-nevermindversion']
44,['coyoteshivers_sugarhigh'],['oasis_champagnesupernova-remastered']
45,['live_ialone'],['live_lightningcrashes']
46,['live_lightningcrashes'],['live_ialone']
47,['nirvana_inbloom-nevermindversion'],['oasis_champagnesupernova-remastered']
48,['nirvana_comeasyouare'],['nirvana_lithium']
49,['xambassadors_unsteady'],['oasis_champagnesupernova-remastered']
50,['rev.jamescleveland_getrightchurch'],['walkthemoon_shutupanddance']
51,"[""katedmonson_youcan'tbreakmyheart""]",['imaginedragons_ontopoftheworld']
52,['delaghetto_tuteimaginas'],['beyoncé_drunkinlove']
53,['angus&juliastone_bigjetplane'],['joségonzález_downtheline']
54,['leonbridges_cominghome'],['joségonzález_downtheline']
55,['kanyewest_power'],['joségonzález_downtheline']
56,['jackjohnson_igotyou'],['joségonzález_downtheline']
57,['raury_neveralone'],['joségonzález_downtheline']
58,['llcoolj_mamasaidknockyouout'],['joségonzález_downtheline']
59,['buxxi_comotunohaydos'],['joségonzález_downtheline']
60,['johnnycash_hurt'],['sanholo_fly']
61,['johnnycash_hurt'],['hillsongyoung&free_embers-live']
62,['hillsongyoung&free_embers-live'],['johnnycash_hurt']
63,['hoodieallen_surpriseparty(feat.blackbear)'],['miguel_skywalker']
64,['abrokensilence_builditup'],['miguel_skywalker']
65,"[""themowgli's_sanfrancisco""]",['miguel_skywalker']
66,['hozier_takemetochurch'],['miguel_skywalker']
67,['troyboi_o.g'],['lukebryan_shegetmehigh']
68,['onajetplane'],['thedecemberists_lakesong']
69,"['tito""elbambino""_elamor']",['oscarisaac_green']
70,['greenrockyroad'],['kaleo_alltheprettygirls']
71,['dexysmidnightrunners_comeoneileen'],['greenrockyroad']
72,['lilwayne_6foot7foot'],['kaleo_alltheprettygirls']
73,['boyslikegirls_twoisbetterthanone'],['kaleo_alltheprettygirls']
74,['llcoolj_mamasaidknockyouout'],['leonbridges_cominghome']
75,['baabamaal_therewillbetime'],['needtobreathe_happiness']
76,['lilwayne_6foot7foot'],['mumford&sons_littlelionman']
77,['lilwayne_6foot7foot'],['kanyewest_gorgeous']
78,['bingcrosby_whitechristmas'],['kanyewest_fml']
79,['liluzivert_thewaylifegoes(feat.ohwonder)'],['kanyewest_gorgeous']
80,"[""birdman_stuntin'likemydaddy-street""]",['kanyewest_gorgeous']
81,['savage_swing'],['kanyewest_gorgeous']
82,['drake_fakelove'],['kanyewest_gorgeous']
83,['zayn_foolforyou'],['kanyewest_gorgeous']
84,['travisatreo_youareinlove'],['kanyewest_gorgeous']
85,['jacobsartorius_lasttext'],['kanyewest_gorgeous']
86,['restorations_kindofcomfort'],['ironchic_(castle)numbskull']
87,['restorations_kindofcomfort'],['ironchic_cutesymonsterman']
88,['ironchic_blackfriday'],['ironchic_(castle)numbskull']
89,['alexnewell_killthelights(withnilerodgers)-audienremix'],['ironchic_(castle)numbskull']
90,['thechainsmokers_letyougo-radioedit'],['ironchic_(castle)numbskull']
91,"[""you'reit""]",['ironchic_(castle)numbskull']
92,['robinthicke_sextherapy'],['ironchic_(castle)numbskull']
93,['elliegoulding_myblood'],['ironchic_cutesymonsterman']
94,"[""joeladams_pleasedon'tgo""]",['ironchic_cutesymonsterman']
95,['michaelfranti&spearhead_shakeit'],['ironchic_cutesymonsterman']
96,['theband_uponcripplecreek-2000digitalremaster'],['ironchic_cutesymonsterman']
97,['jellybean?'],['ethanpierce_darkskies']
98,['melaniemartinez_pacifyher'],['sigala_easylove']
99,['phosphorescent_songforzula(livefromspotifylondon)'],['radiohead_creep-acoustic']
100,['thechainsmokers_letyougo-radioedit'],['frances_letitout']
101,['thechainsmokers_letyougo-radioedit'],['empireofthesun_wearethepeople']
102,"[""rickross_movin'bass-gtaremix""]",['empireofthesun_wearethepeople']
103,['twodoorcinemaclub_sun'],['empireofthesun_wearethepeople']
104,['bretteldredge_drunkonyourlove'],['empireofthesun_wearethepeople']
105,['jimmybuffett_volcano'],['empireofthesun_wearethepeople']
106,['t.i.'],['kanyewest']
107,['erykahbadu_fallinlove(yourfuneral)'],['wizkid&kranium)']
108,['mwanafa_asantenikwakuja'],['afrojack_asyourfriend']
109,['mwanafa_asantenikwakuja'],['gwenstefani_thesweetescape']
110,['mwanafa_asantenikwakuja'],"[""jessiejamesdecker_blueain'tyourcolor-live""]"
111,['afrojack_catchtomorrow'],['gwenstefani_thesweetescape']
112,['boyziimen_endoftheroad'],"[""aliciakeys_youdon'tknowmyname""]"
113,"[""aliciakeys_youdon'tknowmyname""]",['boyziimen_endoftheroad']
114,['carrieunderwood_blownaway'],['carrieunderwood_littletoyguns']
115,"[""jakeowen_beachin'""]",['carrieunderwood_littletoyguns']
116,['keithurban_copcar'],['ethanpierce_darkskies']
117,['chrisjeday_ahoradice'],['cashmerecat_trustnobody(feat.selenagomez&torylanez)']
118,['theband_uponcripplecreek-2000digitalremaster'],"[""joeladams_pleasedon'tgo""]"
119,['hunterhayes_iwantcrazy-encore'],['jasonaldean_thetruth']
120,['gilbertogil_aqueleabraco'],['arianagrande_onelasttime']
121,"[""run–d.m.c._it'stricky""]",['iconapop_iloveit(feat.charlixcx)-feat.charlixcx[originalversion]']
122,['iconapop_iloveit(feat.charlixcx)-feat.charlixcx[originalversion]'],"[""run–d.m.c._it'stricky""]"
123,"[""run–d.m.c._it'stricky""]",['brantleygilbert_countrymustbecountrywide']
124,['brantleygilbert_countrymustbecountrywide'],"[""run–d.m.c._it'stricky""]"
125,"[""run–d.m.c._it'stricky""]",['zacbrownband_kneedeep(feat.jimmybuffett)']
126,['brantleygilbert_countrymustbecountrywide'],['iconapop_iloveit(feat.charlixcx)-feat.charlixcx[originalversion]']
127,['iconapop_iloveit(feat.charlixcx)-feat.charlixcx[originalversion]'],['brantleygilbert_countrymustbecountrywide']
128,['iconapop_iloveit(feat.charlixcx)-feat.charlixcx[originalversion]'],['zacbrownband_kneedeep(feat.jimmybuffett)']
129,['zacbrownband_kneedeep(feat.jimmybuffett)'],['brantleygilbert_countrymustbecountrywide']
130,['brantleygilbert_countrymustbecountrywide'],['zacbrownband_kneedeep(feat.jimmybuffett)']
131,['kipmoore_beermoney'],['mileycyrus_fu']
132,"['tito""elbambino""_elamor']",['kipmoore_beermoney']
133,['thelumineers_ophelia'],['lukebryan_suntancity']
134,['imaginedragons_radioactive'],['lukebryan_rainisagoodthing']
135,"['tito""elbambino""_elamor']",['mileycyrus_fu']
136,['raury_neveralone'],['mileycyrus_fu']
137,['bingcrosby_melekalikimaka-singleversion'],"[""mileycyrus_can'tbetamed""]"
138,['lildicky_professionalrapper(feat.snoopdogg)'],"[""mileycyrus_can'tbetamed""]"
139,['christinaperri_arms'],['thejackson5_santaclausiscomingtotown']
140,['johnmellencamp_cherrybomb'],['bingcrosby_winterwonderland']
141,['pham_movements'],['thejackson5_santaclausiscomingtotown']
142,['lloydbanks_startitup-feat.kanyewest'],['jayz_whogonstopme']
143,['liljon&theeastsideboyz_getlow-street'],['dariusrucker_this']
144,['m.i.a._warriors'],['jayz_whogonstopme']
145,['threedaysgrace_pain'],['jayz_whogonstopme']
146,['sabrinacarpenter_twoyounghearts'],['rayj_sexycanifeat.yungberg']
147,['dmx_wherethehoodat'],['jasonaldean_staringatthesun']
148,"[""50cent_ifican't""]",['carrieunderwood_wasted']
149,['carrieunderwood_wasted'],"[""50cent_ifican't""]"
150,['zacbrownband_highway20ride'],['zacbrownband_jumprightin']
151,['zacbrownband_jumprightin'],['zacbrownband_highway20ride']
152,['kennychesney_comeover'],['carrieunderwood_wasted']
153,['carrieunderwood_wasted'],['kennychesney_comeover']
154,['carrieunderwood_wasted'],['hillsongunited_hosanna']
155,['erykahbadu_fallinlove(yourfuneral)'],['3oh!3_myfirstkiss-feat.ke$ha']
156,"[""grace_youdon'townme""]",['michaelkiwanuka_love&hate']
157,['sabrinacarpenter_twoyounghearts'],['exo_monster']
158,['cherlloyd_growup'],['onedirection_onewayoranother(teenagekicks)']
159,['saintwknd_golden'],['ethanpierce_darkskies']
160,['hillsongyoung&free_embers-live'],['sanholo_fly']
161,"[""tompettyandtheheartbreakers_don'tcomearoundherenomore""]",['machinegunkelly_storyofthestairs']
162,['lilwayne_twoshots'],['michaelkiwanuka_love&hate']
163,['leehomwang_依然愛你'],['jjlin_發現愛']
164,['jjlin_發現愛'],['leehomwang_依然愛你']
165,['parraforcuva_fadingnights'],['future_honest']
166,['ziggymarley_truetomyself'],"[""tompettyandtheheartbreakers_don'tcomearoundherenomore""]"
167,"[""tompettyandtheheartbreakers_don'tcomearoundherenomore""]",['ziggymarley_truetomyself']
168,['disclosure_secondchance'],['bts_dope']
169,['exo_lotto'],['bts_dope']
170,['gilbertogil_aqueleabraco'],['bts_btscypher4']
171,"[""tompettyandtheheartbreakers_don'tcomearoundherenomore""]","[""tompetty_youdon'tknowhowitfeels""]"
172,['drake_fakelove'],['travisatreo_youareinlove']
173,['drewholcomb&theneighbors_whatwouldidowithoutyou'],"[""oliviao'brien_complicated""]"
174,"[""oliviao'brien_complicated""]",['drewholcomb&theneighbors_whatwouldidowithoutyou']
175,['cityandcolour_thegirl'],"[""oliviao'brien_complicated""]"
176,['drewholcomb&theneighbors_whatwouldidowithoutyou'],['jackjohnson_igotyou']
177,['drewholcomb&theneighbors_whatwouldidowithoutyou'],['cityandcolour_thegirl']
178,['cityandcolour_thegirl'],['drewholcomb&theneighbors_whatwouldidowithoutyou']
179,['jackjohnson_igotyou'],['davematthews_sister-liveatradiocity']
180,['davematthews_sister-liveatradiocity'],['jackjohnson_igotyou']
181,"['o.s.collective_sweethomealabama(from""forrestgump"")']",['maluma_borrocassette']
182,['fleetwoodmac_dreams-2004remasterededition'],['chingy_rightthurr']
183,['chingy_rightthurr'],['fleetwoodmac_dreams-2004remasterededition']
184,['atribecalledquest_thespaceprogram'],['raury_neveralone']
185,['raury_neveralone'],['atribecalledquest_thespaceprogram']
186,['buxxi_comotunohaydos'],['llcoolj_mamasaidknockyouout']
187,['kendricklamar_bitch'],"[""claywalker_shewon'tbelonelylong""]"
188,"[""claywalker_shewon'tbelonelylong""]",['kendricklamar_bitch']
189,['kendricklamar_bitch'],['arcticmonkeys_iwannabeyours']
190,"['beyoncé_crazyinlove', 'boyslikegirls_thegreatescape']",['usher_yeah!']
191,"['beyoncé_crazyinlove', 'usher_yeah!']",['boyslikegirls_thegreatescape']
192,"['boyslikegirls_thegreatescape', 'usher_yeah!']",['beyoncé_crazyinlove']
193,"['cascada_everytimewetouch-radioedit', 'boyslikegirls_thegreatescape']",['usher_yeah!']
194,"['cascada_everytimewetouch-radioedit', 'usher_yeah!']",['boyslikegirls_thegreatescape']
195,"['boyslikegirls_thegreatescape', 'usher_yeah!']",['cascada_everytimewetouch-radioedit']
196,"[""mileycyrus_can'tbetamed"", 'christinaperri_distance']",['usher_yeah!']
197,"[""mileycyrus_can'tbetamed"", 'usher_yeah!']",['christinaperri_distance']
198,"['christinaperri_distance', 'mileycyrus_domythang']",['usher_yeah!']
199,"['usher_yeah!', 'mileycyrus_domythang']",['christinaperri_distance']
200,"['whitney_you’vegotawoman', 'ne-yo_missindependent']",['ironchic_cutesymonsterman']
201,"['whitney_you’vegotawoman', 'ironchic_cutesymonsterman']",['ne-yo_missindependent']
202,"['ne-yo_missindependent', 'ironchic_cutesymonsterman']",['whitney_you’vegotawoman']
203,"['lynyrdskynyrd_sweethomealabama', 'kansas_carryonwaywardson']",['queen_bohemianrhapsody-remastered2011']
204,"['lynyrdskynyrd_sweethomealabama', 'queen_bohemianrhapsody-remastered2011']",['kansas_carryonwaywardson']
205,['lynyrdskynyrd_sweethomealabama'],"['kansas_carryonwaywardson', 'queen_bohemianrhapsody-remastered2011']"
206,"['benfoster_themajestictale(ofamadmaninabox)', 'kansas_carryonwaywardson']",['queen_bohemianrhapsody-remastered2011']
207,"['benfoster_themajestictale(ofamadmaninabox)', 'queen_bohemianrhapsody-remastered2011']",['kansas_carryonwaywardson']
208,"['rayj_sexycanifeat.yungberg', 'sabrinacarpenter_twoyounghearts']",['kansas_carryonwaywardson']
209,"['rayj_sexycanifeat.yungberg', 'kansas_carryonwaywardson']",['sabrinacarpenter_twoyounghearts']
210,"['sabrinacarpenter_twoyounghearts', 'kansas_carryonwaywardson']",['rayj_sexycanifeat.yungberg']
211,['sabrinacarpenter_twoyounghearts'],"['rayj_sexycanifeat.yungberg', 'kansas_carryonwaywardson']"
212,"['rayj_sexycanifeat.yungberg', 'themellomen_paintingtherosesred/marchofthecards-soundtrack']",['kansas_carryonwaywardson']
213,"['rayj_sexycanifeat.yungberg', 'kansas_carryonwaywardson']",['themellomen_paintingtherosesred/marchofthecards-soundtrack']
214,"['themellomen_paintingtherosesred/marchofthecards-soundtrack', 'kansas_carryonwaywardson']",['rayj_sexycanifeat.yungberg']
215,"['themellomen_paintingtherosesred/marchofthecards-soundtrack', 'bts_dope']",['kansas_carryonwaywardson']
216,"['themellomen_paintingtherosesred/marchofthecards-soundtrack', 'kansas_carryonwaywardson']",['bts_dope']
217,"['bts_dope', 'kansas_carryonwaywardson']",['themellomen_paintingtherosesred/marchofthecards-soundtrack']
218,"['timeflies_monsters', 'benfoster_themajestictale(ofamadmaninabox)']",['queen_bohemianrhapsody-remastered2011']
219,"['timeflies_monsters', 'queen_bohemianrhapsody-remastered2011']",['benfoster_themajestictale(ofamadmaninabox)']
220,"['benfoster_themajestictale(ofamadmaninabox)', 'queen_bohemianrhapsody-remastered2011']",['timeflies_monsters']
221,"['arianagrande_onelasttime', 'timeflies_monsters']",['queen_bohemianrhapsody-remastered2011']
222,"['arianagrande_onelasttime', 'queen_bohemianrhapsody-remastered2011']",['timeflies_monsters']
223,"['timeflies_monsters', 'queen_bohemianrhapsody-remastered2011']",['arianagrande_onelasttime']
224,"['timeflies_monsters', 'gilbertogil_aqueleabraco']",['queen_bohemianrhapsody-remastered2011']
225,"['timeflies_monsters', 'queen_bohemianrhapsody-remastered2011']",['gilbertogil_aqueleabraco']
226,"['gilbertogil_aqueleabraco', 'queen_bohemianrhapsody-remastered2011']",['timeflies_monsters']
227,"['bigsean_light', ""bigsean_idon'tfuckwithyou""]",['merlehaggard&thestrangers_kentuckygambler']
228,"['bigsean_light', 'merlehaggard&thestrangers_kentuckygambler']","[""bigsean_idon'tfuckwithyou""]"
229,"[""bigsean_idon'tfuckwithyou"", 'merlehaggard&thestrangers_kentuckygambler']",['bigsean_light']
230,"['bigsean_light', 'raesremmurd_comegether']",['merlehaggard&thestrangers_kentuckygambler']
231,"['raesremmurd_comegether', 'merlehaggard&thestrangers_kentuckygambler']",['bigsean_light']
232,"['bigsean_light', 'mumford&sons_littlelionman']",['merlehaggard&thestrangers_kentuckygambler']
233,"['mumford&sons_littlelionman', 'merlehaggard&thestrangers_kentuckygambler']",['bigsean_light']
234,"['bigsean_light', 'merlehaggard&thestrangers_kentuckygambler']",['lukebryan_shegetmehigh']
235,"['lukebryan_shegetmehigh', 'merlehaggard&thestrangers_kentuckygambler']",['bigsean_light']
236,"[""bigsean_idon'tfuckwithyou"", 'raesremmurd_comegether']",['merlehaggard&thestrangers_kentuckygambler']
237,"[""bigsean_idon'tfuckwithyou"", 'merlehaggard&thestrangers_kentuckygambler']",['raesremmurd_comegether']
238,"['raesremmurd_comegether', 'merlehaggard&thestrangers_kentuckygambler']","[""bigsean_idon'tfuckwithyou""]"
239,"['oscarisaac_green', 'merlehaggard&thestrangers_kentuckygambler']",['mileycyrus_fu']
240,"['mileycyrus_fu', 'merlehaggard&thestrangers_kentuckygambler']",['oscarisaac_green']
241,"['bigsean_light', 'meekmill_jumpouttheface(feat.future)']",['drake_portland']
242,"['bigsean_light', 'drake_portland']",['meekmill_jumpouttheface(feat.future)']
243,"['meekmill_jumpouttheface(feat.future)', 'drake_portland']",['bigsean_light']
244,['meekmill_jumpouttheface(feat.future)'],"['bigsean_light', 'drake_portland']"
245,"['bigsean_light', 'drake_portland']",['lukebryan_shegetmehigh']
246,"['lukebryan_shegetmehigh', 'drake_portland']",['bigsean_light']
247,"['bigsean_light', 'raesremmurd_comegether']","[""bigsean_idon'tfuckwithyou""]"
248,"[""bigsean_idon'tfuckwithyou"", 'raesremmurd_comegether']",['bigsean_light']
249,"['fortminor_rememberthename(feat.stylesofbeyond)', 'bigsean_light']","[""bigsean_idon'tfuckwithyou""]"
250,"['fortminor_rememberthename(feat.stylesofbeyond)', ""bigsean_idon'tfuckwithyou""]",['bigsean_light']
251,"['bigsean_light', 'raury_neveralone']","[""bigsean_idon'tfuckwithyou""]"
252,"[""bigsean_idon'tfuckwithyou"", 'raury_neveralone']",['bigsean_light']
253,['raury_neveralone'],"['bigsean_light', ""bigsean_idon'tfuckwithyou""]"
254,"['fortminor_rememberthename(feat.stylesofbeyond)', 'bigsean_light']",['kanyewest_power']
255,"['fortminor_rememberthename(feat.stylesofbeyond)', 'kanyewest_power']",['bigsean_light']
256,"['bigsean_light', 'kanyewest_power']",['fortminor_rememberthename(feat.stylesofbeyond)']
257,"['bigsean_light', 'oscarisaac_green']",['joségonzález_downtheline']
258,"['bigsean_light', 'joségonzález_downtheline']",['oscarisaac_green']
259,"['oscarisaac_green', 'joségonzález_downtheline']",['bigsean_light']
260,"['bigsean_light', 'joségonzález_downtheline']",['kaleo_alltheprettygirls']
261,"['joségonzález_downtheline', 'kaleo_alltheprettygirls']",['bigsean_light']
262,"['bigsean_light', 'joségonzález_downtheline']",['leonbridges_cominghome']
263,"['bigsean_light', 'leonbridges_cominghome']",['joségonzález_downtheline']
264,"['bigsean_light', 'joségonzález_downtheline']",['lukebryan_shegetmehigh']
265,"['bigsean_light', 'joségonzález_downtheline']",['mileycyrus_fu']
266,"['bigsean_light', 'joségonzález_downtheline']",['jackjohnson_igotyou']
267,"['bigsean_light', 'jackjohnson_igotyou']",['joségonzález_downtheline']
268,"['joségonzález_downtheline', 'jackjohnson_igotyou']",['bigsean_light']
269,"['bigsean_light', 'joségonzález_downtheline']",['raury_neveralone']
270,"['bigsean_light', 'raury_neveralone']",['joségonzález_downtheline']
271,"['joségonzález_downtheline', 'raury_neveralone']",['bigsean_light']
272,['raury_neveralone'],"['bigsean_light', 'joségonzález_downtheline']"
273,"['bigsean_light', 'oscarisaac_green']",['kaleo_alltheprettygirls']
274,"['oscarisaac_green', 'kaleo_alltheprettygirls']",['bigsean_light']
275,"['bigsean_light', 'oscarisaac_green']",['leonbridges_cominghome']
276,"['bigsean_light', 'leonbridges_cominghome']",['oscarisaac_green']
277,"['bigsean_light', 'oscarisaac_green']",['kanyewest_gorgeous']
278,"['bigsean_light', 'kanyewest_gorgeous']",['oscarisaac_green']
279,"['kipmoore_beermoney', 'bigsean_light']",['oscarisaac_green']
280,"['bigsean_light', 'oscarisaac_green']",['kipmoore_beermoney']
281,"['bigsean_light', 'oscarisaac_green']",['mileycyrus_fu']
282,"['oscarisaac_green', 'mileycyrus_fu']",['bigsean_light']
283,"['bigsean_light', 'leonbridges_cominghome']",['kaleo_alltheprettygirls']
284,"['bigsean_light', 'kanyewest_gorgeous']",['kaleo_alltheprettygirls']
285,"['bigsean_light', 'kaleo_alltheprettygirls']",['kanyewest_gorgeous']
286,"['bigsean_light', 'lilwayne_presidentcarter']",['kaleo_alltheprettygirls']
287,"['lukebryan_shegetmehigh', 'kaleo_alltheprettygirls']",['bigsean_light']
288,"['bigsean_light', 'lukebryan_suntancity']",['kaleo_alltheprettygirls']
289,"['lukebryan_suntancity', 'kaleo_alltheprettygirls']",['bigsean_light']
290,"['bigsean_light', 'kaleo_alltheprettygirls']",['mileycyrus_fu']
291,"['bigsean_light', '&fabolous']",['kaleo_alltheprettygirls']
292,"['kaleo_alltheprettygirls', '&fabolous']",['bigsean_light']
293,"['bigsean_light', 'travisatreo_youareinlove']",['kaleo_alltheprettygirls']
294,"['travisatreo_youareinlove', 'kaleo_alltheprettygirls']",['bigsean_light']
295,"['bigsean_light', 'leonbridges_cominghome']",['mileycyrus_fu']
296,"['mileycyrus_fu', 'leonbridges_cominghome']",['bigsean_light']
297,"['bigsean_light', 'mumford&sons_littlelionman']",['lilwayne_6foot7foot']
298,"['bigsean_light', 'lilwayne_6foot7foot']",['mumford&sons_littlelionman']
299,"['mumford&sons_littlelionman', 'lilwayne_6foot7foot']",['bigsean_light']
300,['lilwayne_6foot7foot'],"['bigsean_light', 'mumford&sons_littlelionman']"
301,"['bigsean_light', 'kanyewest_gorgeous']",['lukebryan_nightone']
302,"['bigsean_light', 'kanyewest_gorgeous']",['lukebryan_suntancity']
303,"['bigsean_light', 'lukebryan_suntancity']",['kanyewest_gorgeous']
304,"['bigsean_light', 'kanyewest_gorgeous']",['mileycyrus_fu']
305,"['bigsean_light', 'kanyewest_gorgeous']",['travisatreo_youareinlove']
306,"['bigsean_light', 'travisatreo_youareinlove']",['kanyewest_gorgeous']
307,"['bigsean_light', 'lilwayne_presidentcarter']",['lukebryan_shegetmehigh']
308,"['lukebryan_shegetmehigh', 'lilwayne_presidentcarter']",['bigsean_light']
309,"['lukebryan_nightone', 'lilwayne_presidentcarter']",['bigsean_light']
310,"['bigsean_light', 'lilwayne_presidentcarter']",['lukebryan_nightone']
311,"['bigsean_light', 'lilwayne_presidentcarter']",['mileycyrus_fu']
312,"['mileycyrus_fu', 'lilwayne_presidentcarter']",['bigsean_light']
313,"['kipmoore_beermoney', 'bigsean_light']",['mileycyrus_fu']
314,"['lukebryan_nightone', 'bigsean_light']",['lukebryan_shegetmehigh']
315,"['lukebryan_shegetmehigh', 'mileycyrus_fu']",['bigsean_light']
316,"['bigsean_light', '&fabolous']",['lukebryan_shegetmehigh']
317,"['lukebryan_shegetmehigh', '&fabolous']",['bigsean_light']
318,"['bigsean_light', 'davematthews_sister-liveatradiocity']",['lukebryan_shegetmehigh']
319,"['davematthews_sister-liveatradiocity', 'lukebryan_shegetmehigh']",['bigsean_light']
320,"['bigsean_light', 'ciara_goodies']",['lukebryan_shegetmehigh']
321,"['ciara_goodies', 'lukebryan_shegetmehigh']",['bigsean_light']
322,"['bigsean_light', 'lukebryan_suntancity']",['lukebryan_nightone']
323,"['lukebryan_nightone', 'bigsean_light']",['mileycyrus_fu']
324,"['lukebryan_nightone', 'travisatreo_youareinlove']",['bigsean_light']
325,"['bigsean_light', 'travisatreo_youareinlove']",['lukebryan_nightone']
326,"['lukebryan_nightone', 'davematthews_sister-liveatradiocity']",['bigsean_light']
327,"['bigsean_light', 'davematthews_sister-liveatradiocity']",['lukebryan_nightone']
328,"['bigsean_light', 'lukebryan_suntancity']",['mileycyrus_fu']
329,"['lukebryan_suntancity', 'mileycyrus_fu']",['bigsean_light']
330,"['bigsean_light', 'travisatreo_youareinlove']",['lukebryan_suntancity']
331,"['bigsean_light', 'lukebryan_suntancity']",['travisatreo_youareinlove']
332,"['bigsean_light', '&fabolous']",['mileycyrus_fu']
333,"['mileycyrus_fu', '&fabolous']",['bigsean_light']
334,"['bigsean_light', 'travisatreo_youareinlove']",['mileycyrus_fu']
335,"['travisatreo_youareinlove', 'mileycyrus_fu']",['bigsean_light']
336,"['bigsean_light', 'raury_neveralone']",['mileycyrus_fu']
337,"['mileycyrus_fu', 'raury_neveralone']",['bigsean_light']
338,['raury_neveralone'],"['bigsean_light', 'mileycyrus_fu']"
339,"['bigsean_light', 'travisatreo_youareinlove']",['jackjohnson_igotyou']
340,"['bigsean_light', 'jackjohnson_igotyou']",['travisatreo_youareinlove']
341,"['travisatreo_youareinlove', 'jackjohnson_igotyou']",['bigsean_light']
342,"['atribecalledquest_thespaceprogram', 'bigsean_light']",['raury_neveralone']
343,"['atribecalledquest_thespaceprogram', 'raury_neveralone']",['bigsean_light']
344,"['bigsean_light', 'raury_neveralone']",['atribecalledquest_thespaceprogram']
345,['atribecalledquest_thespaceprogram'],"['bigsean_light', 'raury_neveralone']"
346,['raury_neveralone'],"['atribecalledquest_thespaceprogram', 'bigsean_light']"
347,"['meekmill_jumpouttheface(feat.future)', 'raesremmurd_comegether']",['joségonzález_downtheline']
348,"['meekmill_jumpouttheface(feat.future)', 'joségonzález_downtheline']",['raesremmurd_comegether']
349,"['joségonzález_downtheline', 'raesremmurd_comegether']",['meekmill_jumpouttheface(feat.future)']
350,['meekmill_jumpouttheface(feat.future)'],"['joségonzález_downtheline', 'raesremmurd_comegether']"
351,"['meekmill_jumpouttheface(feat.future)', 'raesremmurd_comegether']",['lukebryan_shegetmehigh']
352,"['meekmill_jumpouttheface(feat.future)', 'lukebryan_shegetmehigh']",['raesremmurd_comegether']
353,"['raesremmurd_comegether', 'lukebryan_shegetmehigh']",['meekmill_jumpouttheface(feat.future)']
354,['meekmill_jumpouttheface(feat.future)'],"['raesremmurd_comegether', 'lukebryan_shegetmehigh']"
